sequence accession,strain_name,state,subtype,NA_clade,HA_clade
KP719935,A/swine/Kansas/14-000624/2015,Kansas,H3N2,N2.2002B,cluster_iva
KP725189,A/swine/Nebraska/A01567651/2015,Nebraska,H3N2,N2.2002A,cluster_iva
KP765816,A/swine/Illinois/A01840351/2015,Illinois,H3N2,N2.2002A,cluster_ive
KP765825,A/swine/Indiana/A01840392/2015,Indiana,H1N2,N2.1998B,delta2
KP842752,A/swine/Indiana/A01840455/2015,Indiana,H1N2,N2.1998B,delta2
KP725192,A/swine/Minnesota/A01567833/2015,Minnesota,H1N2,N2.2002A,delta1a
KP842773,A/swine/North_Carolina/A01555365/2015,North Carolina,H1N2,N2.1998B,delta2
KP842746,A/swine/North_Carolina/A01840506/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KP772315,A/swine/Illinois/A01462549/2015,Illinois,H3N2,N2.2002A,cluster_ive
KP842758,A/swine/Iowa/A01840492/2015,Iowa,H1N2,N2.1998B,delta2
KR092044,A/swine/Illinois/A01462582/2015,Illinois,H3N2,N2.2002A,cluster_ive
KP890043,A/swine/Illinois/A01462594/2015,Illinois,H3N2,N2.2002B,cluster_iva
KP751330,A/swine/Nebraska/A01567868/2015,Nebraska,H3N2,N2.2002B,cluster_iva
KP842732,A/swine/Illinois/A01478685/2015,Illinois,H3N2,N2.2002A,cluster_ive
KR074107,A/swine/Illinois/A01489882/2015,Illinois,H3N2,N2.2002B,cluster_iva
KP842749,A/swine/Ohio/A01478678/2015,Ohio,H1N2,N2.1998B,delta2
KP842755,A/swine/Ohio/A01840604/2015,Ohio,H1N2,N2.1998B,delta2
KP890046,A/swine/Illinois/A01462632/2015,Illinois,H1N2,N2.2002A,gamma
KP772324,A/swine/Minnesota/A01469803/2015,Minnesota,H1N2,N2.2002B,alpha
KP842729,A/swine/North_Carolina/A01555452/2015,North Carolina,H1N2,N2.1998B,delta2
KP972102,A/swine/Illinois/A01462644/2015,Illinois,H3N2,N2.2002B,cluster_iva
KP901346,A/swine/Illinois/A01555516/2015,Illinois,H1N2,N2.2002B,delta1a
KP972111,A/swine/Illinois/A01462663/2015,Illinois,H3N2,N2.2002B,cluster_iva
KP972105,A/swine/Illinois/A01462759/2015,Illinois,H3N2,N2.2002B,cluster_ivb
KP901340,A/swine/Arkansas/A01840698/2015,Arkansas,H1N2,N2.2002B,delta1a
KP901316,A/swine/Iowa/A01840670/2015,Iowa,H1N2,N2.2002B,alpha
KP901322,A/swine/Nebraska/A01478775/2015,Nebraska,H3N2,N2.2002B,cluster_iva
KP901337,A/swine/North_Carolina/A01555522/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KP901325,A/swine/North_Carolina/A01555533/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KP901331,A/swine/Illinois/A01478741/2015,Illinois,H1N2,N2.2002B,delta1a
KP901334,A/swine/Illinois/A01840712/2015,Illinois,H1N2,N2.2002B,delta1a
KP901310,A/swine/Iowa/A01555529/2015,Iowa,H1N2,N2.2002A,delta1b
KP901307,A/swine/Missouri/A01840724/2015,Missouri,H3N2,N2.2002B,2010.1
KP996584,A/swine/North_Carolina/A01555544/2015,North Carolina,H1N2,N2.1998B,delta2
KP996533,A/swine/Illinois/A01840755/2015,Illinois,H1N2,N2.2002B,delta1a
KP996587,A/swine/Indiana/A01840743/2015,Indiana,H1N2,N2.2002B,delta1a
KP996536,A/swine/Indiana/A01840752/2015,Indiana,H1N2,N2.1998B,delta2
KP996554,A/swine/Indiana/A01840753/2015,Indiana,H1N2,N2.2002B,delta1a
KP996581,A/swine/Iowa/A01478820/2015,Iowa,H3N2,N2.2002B,cluster_iva
KR002701,A/swine/Minnesota/A01489541/2015,Minnesota,H1N2,N2.2002B,delta1a
KP996551,A/swine/Arkansas/A01840760/2015,Arkansas,H1N2,N2.2002B,delta1a
KP996566,A/swine/Iowa/A01840762/2015,Iowa,H1N2,N2.1998B,delta2
KP901328,A/swine/North_Carolina/A01840751/2015,North Carolina,H1N2,N2.1998B,delta2
KP972108,A/swine/Illinois/A01462810/2015,Illinois,H3N2,N2.2002B,cluster_ivb
KP996590,A/swine/Iowa/A01840794/2015,Iowa,H1N2,N2.2002A,delta1a
KP996563,A/swine/Illinois/A01478890/2015,Illinois,H3N2,N2.2002B,cluster_iva
KP996557,A/swine/Illinois/A01555570/2015,Illinois,H3N2,N2.2002B,cluster_iva
KP996575,A/swine/Indiana/A01840825/2015,Indiana,H1N2,N2.1998B,delta2
KP996569,A/swine/Nebraska/A01555575/2015,Nebraska,H1N2,N2.2002A,delta1b
KR012360,A/swine/Arkansas/A01841004/2015,Arkansas,H1N2,N2.2002B,delta1a
KR012369,A/swine/Illinois/A01478910/2015,Illinois,H1N2,N2.2002B,delta1a
KR012378,A/swine/North_Carolina/A01555667/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KR012348,A/swine/Oklahoma/A01478925/2015,Oklahoma,H1N2,N2.2002B,delta1a
KR012366,A/swine/Indiana/A01840859/2015,Indiana,H1N2,N2.1998B,delta2
KR012363,A/swine/Oklahoma/A01841022/2015,Oklahoma,H1N2,N2.2002B,delta1a
KR012384,A/swine/Arkansas/A01841034/2015,Arkansas,H1N2,N2.2002B,delta1a
KR012375,A/swine/Arkansas/A01841049/2015,Arkansas,H1N2,N2.2002B,delta1a
KR012381,A/swine/Iowa/A01840866/2015,Iowa,H3N2,N2.2002B,cluster_iva
KR012345,A/swine/Oklahoma/A01478965/2015,Oklahoma,H1N2,N2.2002B,delta1a
KR012372,A/swine/Oklahoma/A01841014/2015,Oklahoma,H1N2,N2.2002B,delta1a
KR012387,A/swine/Oklahoma/A01841015/2015,Oklahoma,H1N2,N2.2002B,delta1a
KR057435,A/swine/Illinois/A01555638/2015,Illinois,H3N2,N2.2002B,cluster_iva
KR052699,A/swine/Indiana/A01260831/2015,Indiana,H1N2,N2.2002A,delta1a
KR012357,A/swine/Illinois/A01478979/2015,Illinois,H1N2,N2.2002B,delta1a
KR012342,A/swine/Pennsylvania/A01840902/2015,Pennsylvania,H1N2,N2.1998B,delta2
KR057438,A/swine/Indiana/A01840956/2015,Indiana,H1N2,N2.1998B,delta2
KR065780,A/swine/Ohio/A01840938/2015,Ohio,H1N2,N2.1998B,delta2
KR065777,A/swine/North_Carolina/A01841335/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KR057447,A/swine/North_Carolina/A01840952/2015,North Carolina,H1N2,N2.1998B,delta2
KR057441,A/swine/Arkansas/A01841266/2015,Arkansas,H1N2,N2.2002B,delta1a
KR010625,A/swine/Iowa/A01470314/2015,Iowa,H3N2,N2.2002B,cluster_ivb
KR065762,A/swine/Arkansas/A01841343/2015,Arkansas,H1N2,N2.2002B,delta1a
KR065771,A/swine/Indiana/A01841389/2015,Indiana,H3N2,N2.2002B,cluster_iva
KR066410,A/swine/Nebraska/A01489647/2015,Nebraska,H3N2,N2.2002A,cluster_iva
KR088277,A/swine/Illinois/A01840991/2015,Illinois,H3N2,N2.2002B,cluster_iva
KR065765,A/swine/Iowa/A01840985/2015,Iowa,H1N2,N2.2002A,delta1b
KR065774,A/swine/Iowa/A01840987/2015,Iowa,H1N2,N2.2002A,delta1b
KR065753,A/swine/North_Carolina/A01840982/2015,North Carolina,H1N2,N2.1998B,delta2
KR065756,A/swine/North_Carolina/A01841409/2015,North Carolina,H1N2,N2.1998B,delta2
KR065786,A/swine/Illinois/A02077009/2015,Illinois,H1N2,N2.2002B,gamma
KR065783,A/swine/Indiana/A02077077/2015,Indiana,H1N2,N2.2002B,delta1a
KR065759,A/swine/Indiana/A02077078/2015,Indiana,H1N2,N2.2002B,delta1a
KR132565,A/swine/Illinois/A01820084/2015,Illinois,H3N2,N2.2002A,cluster_ive
KR088280,A/swine/Indiana/A01841560/2015,Indiana,H1N2,N2.1998B,delta2
KR088274,A/swine/Indiana/A02076010/2015,Indiana,H1N2,N2.1998B,delta2
KR234062,A/swine/Iowa/A01489946/2015,Iowa,H1N2,N2.2002B,gamma
KT356671,A/swine/California/A01459014/2015,California,H3N2,N2.2002B,cluster_ivb
KT356663,A/swine/California/A01459016/2015,California,H3N2,N2.2002B,cluster_ivb
KR074116,A/swine/Nebraska/A01489819/2015,Nebraska,H3N2,N2.2002A,cluster_iva
KR150938,A/swine/North_Carolina/A01841712/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KR132571,A/swine/Illinois/A01820124/2015,Illinois,H3N2,N2.2002A,cluster_ive
KR132568,A/swine/Illinois/A01820128/2015,Illinois,H3N2,N2.2002B,cluster_iva
KR150944,A/swine/North_Carolina/A01841710/2015,North Carolina,H1N2,N2.1998B,delta2
KR092055,A/swine/South_Dakota/A01470503/2015,South Dakota,H1N2,N2.2002A,delta1b
KT449752,A/swine/Michigan/A01104086/2015,Michigan,(N2),N2.2002B,delta1a
KR492994,A/swine/Illinois/A01820165/2015,Illinois,H3N2,N2.2002A,cluster_ive
KR150947,A/swine/Oklahoma/A01841728/2015,Oklahoma,H1N2,N2.2002B,delta1a
KR150926,A/swine/Nebraska/A01841753/2015,Nebraska,H1N2,N2.2002A,delta1b
KR150923,A/swine/Nebraska/A01841830/2015,Nebraska,H1N2,N2.2002B,alpha
KR150941,A/swine/Nebraska/A01841831/2015,Nebraska,H1N2,N2.2002B,alpha
KR150920,A/swine/North_Carolina/A02076024/2015,North Carolina,H1N2,N2.1998B,delta2
KR150932,A/swine/Illinois/A01841768/2015,Illinois,H3N2,N2.2002B,cluster_iva
KR150935,A/swine/Iowa/A01554310/2015,Iowa,H1N2,N2.2002A,delta1a
KR265513,A/swine/Missouri/A01554320/2015,Missouri,(N2),N2.2002B,2010.1
KR265504,A/swine/South_Dakota/A01841915/2015,South Dakota,H3N2,N2.2002B,cluster_ivb
KR234059,A/swine/Nebraska/A01489958/2015,Nebraska,H1N2,N2.2002A,delta1a
KR982628,A/swine/Indiana/A02024006/2015,Indiana,H1N2,N2.2002B,delta1a
KT356650,A/swine/Illinois/A00843249/2015,Illinois,H1N2,N2.2002B,delta1a
KR265518,A/swine/Missouri/A02076058/2015,Missouri,H3N2,N2.2002B,2010.1
KR092058,A/swine/Minnesota/A01470654/2015,Minnesota,H1N2,N2.2002B,delta1a
KR821160,A/swine/Minnesota/A01847237/2015,Minnesota,H3N2,N2.2002A,2010.1
KR265507,A/swine/Missouri/A01554378/2015,Missouri,H3N2,N2.2002B,2010.1
KR492991,A/swine/Illinois/A01820291/2015,Illinois,H3N2,N2.2002A,cluster_ive
KT165018,A/swine/Indiana/A01260863/2015,Indiana,H3N2,N2.2002B,cluster_iva
KT000086,A/swine/Minnesota/A01847108/2015,Minnesota,H3N2,N2.2002B,cluster_ivb
KR820229,A/swine/Iowa/A02076140/2015,Iowa,H1N2,N2.2002A,delta1a
KR234065,A/swine/Nebraska/A01847132/2015,Nebraska,H3N2,N2.2002B,cluster_iva
KR234068,A/swine/Nebraska/A01847145/2015,Nebraska,H3N2,N2.2002B,cluster_iva
KR820232,A/swine/Iowa/A02076179/2015,Iowa,H3N2,N2.2002B,cluster_iva
KR611169,A/swine/Nebraska/A01847184/2015,Nebraska,H3N2,N2.2002B,cluster_iva
KR611184,A/swine/Nebraska/A01847192/2015,Nebraska,H1N2,N2.2002A,delta1a
KR611178,A/swine/Nebraska/AA01847227/2015,Nebraska,H1N2,N2.2002A,delta1a
KR820226,A/swine/North_Carolina/A02076180/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KR820235,A/swine/Illinois/A01554475/2015,Illinois,H1N2,N2.2002B,delta1a
KR611187,A/swine/Nebraska/A01847244/2015,Nebraska,H3N2,N2.2002B,cluster_iva
KR820211,A/swine/Illinois/A02077158/2015,Illinois,H1N2,N2.2002B,delta1a
KR820223,A/swine/Iowa/A02076301/2015,Iowa,H1N2,N2.2002A,delta1b
KR611181,A/swine/Nebraska/A01847279/2015,Nebraska,H1N2,N2.2002A,delta1a
KR780634,A/swine/Nebraska/A01847285/2015,Nebraska,H1N2,N2.2002A,delta1a
KR812427,A/swine/Arkansas/A02076312/2015,Arkansas,H1N2,N2.2002B,delta1a
KR812448,A/swine/Arkansas/A02076387/2015,Arkansas,H1N2,N2.2002B,delta1a
KR492985,A/swine/Illinois/A01470835/2015,Illinois,H1N2,N2.2002B,delta1a
KR821150,A/swine/Illinois/A01820364/2015,Illinois,H3N2,N2.2002B,cluster_iva
KR265525,A/swine/Illinois/A01470861/2015,Illinois,H1N2,N2.2002B,delta1a
KR812417,A/swine/Iowa/A02076444/2015,Iowa,(N2),N2.2002A,2010.1
KR821153,A/swine/Illinois/A01820414/2015,Illinois,H1N2,N2.2002B,delta1a
KR812424,A/swine/Ohio/A02077256/2015,Ohio,H1N2,N2.2002B,delta1a
KR812445,A/swine/Arkansas/A02076547/2015,Arkansas,H1N2,N2.2002B,delta1a
KR821147,A/swine/Illinois/A01820457/2015,Illinois,H1N2,N2.2002B,delta1a
KR982649,A/swine/Iowa/A02076564/2015,Iowa,H1N2,N2.2002A,delta1b
KR780637,A/swine/Minnesota/A01847455/2015,Minnesota,H3N2,N2.2002B,cluster_ivb
KR611193,A/swine/Minnesota/A01847466/2015,Minnesota,H1N2,N2.2002A,delta1a
KR780646,A/swine/Minnesota/A01847477/2015,Minnesota,H3N2,N2.2002B,cluster_ivb
KR780640,A/swine/Missouri/A01847626/2015,Missouri,H3N2,N2.2002B,2010.1
KR780643,A/swine/South_Dakota/A01847612/2015,South Dakota,H3N2,N2.2002A,cluster_ivd
KR812439,A/swine/Missouri/A01554556/2015,Missouri,H3N2,N2.2002B,2010.1
KR780628,A/swine/Nebraska/A01847566/2015,Nebraska,H1N2,N2.2002A,delta1a
KR982625,A/swine/Illinois/A01554671/2015,Illinois,H3N2,N2.2002A,cluster_ive
KR982670,A/swine/Oklahoma/A01554617/2015,Oklahoma,H1N2,N2.2002A,delta1b
KR982637,A/swine/Arkansas/A01554688/2015,Arkansas,H3N2,N2.2002B,cluster_ivb
KT036440,A/swine/Illinois/A01820488/2015,Illinois,H1N2,N2.2002B,delta1a
KR982655,A/swine/Illinois/A01554902/2015,Illinois,H3N2,N2.2002B,cluster_iva
KR821157,A/swine/Illinois/A01847805/2015,Illinois,H3N2,N2.2002B,cluster_iva
KR982598,A/swine/Illinois/A02077350/2015,Illinois,H1N2,N2.2002B,delta1a
KT165015,A/swine/Indiana/A01260874/2015,Indiana,H1N2,N2.2002B,delta2
KT165012,A/swine/Indiana/A01260875/2015,Indiana,H1N2,N2.2002B,delta1a
KT164906,A/swine/Iowa/A02076596/2015,Iowa,H1N2,N2.2002A,delta1b
KR812458,A/swine/Illinois/A01471010/2015,Illinois,H1N2,N2.2002B,delta1a
KR982658,A/swine/Indiana/A02077486/2015,Indiana,H1N2,N2.2002B,delta1a
KR982595,A/swine/Nebraska/A01554747/2015,Nebraska,H1N2,N2.2002A,delta1a
KR982604,A/swine/Illinois/A02076652/2015,Illinois,H3N2,N2.2002B,cluster_ivb
KT208389,A/swine/Indiana/A01260877/2015,Indiana,H1N2,N2.1998B,delta2
KT165021,A/swine/Indiana/A01260882/2015,Indiana,H3N2,N2.2002B,cluster_iva
KR982622,A/swine/Indiana/A02077457/2015,Indiana,H1N2,N2.2002B,delta1a
KR982592,A/swine/Iowa/A02076654/2015,Iowa,H1N2,N2.2002A,delta1b
KR982631,A/swine/Iowa/A02077564/2015,Iowa,H1N2,N2.2002B,alpha
KR780625,A/swine/Minnesota/A01847704/2015,Minnesota,H1N2,N2.2002A,delta1a
KR821163,A/swine/Minnesota/A01847714/2015,Minnesota,H1N2,N2.2002A,delta1a
KT259385,A/swine/Minnesota/A01847917/2015,Minnesota,H1N2,N2.2002B,delta1a
KT000071,A/swine/Iowa/A02076659/2015,Iowa,H3N2,N2.2002B,cluster_iva
KR982652,A/swine/Indiana/A01554793/2015,Indiana,H1N2,N2.1998B,delta2
KR982607,A/swine/Iowa/A02077467/2015,Iowa,H1N2,N2.2002B,alpha
KR982613,A/swine/North_Carolina/A02076670/2015,North Carolina,H1N2,N2.1998B,delta2
KR982634,A/swine/Michigan/A02077465/2015,Michigan,H1N2,N2.1998B,delta2
KT580870,A/swine/Indiana/A01260885/2015,Indiana,H1N2,N2.2002B,delta1a
KT580862,A/swine/Indiana/A01260888/2015,Indiana,H1N2,N2.2002B,delta1a
KT694124,A/swine/Indiana/A01260890/2015,Indiana,H1N2,N2.1998B,delta2
KT000056,A/swine/Oklahoma/A02076821/2015,Oklahoma,H1N2,N2.2002B,delta1a
KT000065,A/swine/Oklahoma/A02076844/2015,Oklahoma,H1N2,N2.2002B,delta1a
KT580878,A/swine/Indiana/A01260893/2015,Indiana,H1N2,N2.1998B,delta2
KT006362,A/swine/Iowa/A01847868/2015,Iowa,H3N2,N2.2002B,2010.1
KT006359,A/swine/Iowa/A01847871/2015,Iowa,H3N2,N2.2002B,cluster_ivb
KR919738,A/swine/Kansas/A01377559/2015,Kansas,H1N2,N2.2002B,delta1a
KT006371,A/swine/Minnesota/A01847873/2015,Minnesota,H1N2,N2.2002A,delta1b
KT000059,A/swine/North_Carolina/A02077501/2015,North Carolina,H1N2,N2.1998B,delta2
KT000068,A/swine/North_Carolina/A02077502/2015,North Carolina,H1N2,N2.1998B,delta2
KT000047,A/swine/North_Carolina/A02077505/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KT000053,A/swine/North_Carolina/A02077509/2015,North Carolina,H1N2,N2.1998B,delta2
KT164885,A/swine/Illinois/A02076874/2015,Illinois,H3N2,N2.2002B,cluster_iva
KT000083,A/swine/Iowa/A02077538/2015,Iowa,H3N2,N2.2002B,cluster_iva
KT000050,A/swine/Iowa/A02077555/2015,Iowa,H3N2,N2.2002B,cluster_ivb
KT000080,A/swine/Iowa/A02076873/2015,Iowa,H3N2,N2.2002B,cluster_iva
KT164903,A/swine/Indiana/A01554928/2015,Indiana,H1N2,N2.1998B,delta2
KT006365,A/swine/Nebraska/A01847969/2015,Nebraska,H1N2,N2.2002A,delta1a
KT580931,A/swine/Indiana/A01260900/2015,Indiana,(N2),N2.2002B,gamma
KT164881,A/swine/Iowa/A02076879/2015,Iowa,(N2),N2.2002B,gamma
KT164909,A/swine/Illinois/A01554952/2015,Illinois,H3N2,N2.2002B,cluster_ivb
KT099088,A/swine/Iowa/A01822205/2015,Iowa,H3N2,N2.2002B,cluster_ivb
KT164996,A/swine/Nebraska/A01822081/2015,Nebraska,H1N2,N2.2002A,delta1a
KT164897,A/swine/Illinois/A02024070/2015,Illinois,H3N2,N2.2002B,cluster_iva
KT099109,A/swine/Iowa/A01822175/2015,Iowa,H3N2,N2.2002B,cluster_ivb
KT164993,A/swine/Iowa/A01822197/2015,Iowa,H3N2,N2.2002B,cluster_ivb
KT164875,A/swine/Iowa/A02077617/2015,Iowa,H1N2,N2.2002A,delta1b
KT164894,A/swine/Iowa/A02077646/2015,Iowa,H3N2,N2.2002B,2010.1
KT099097,A/swine/Nebraska/A01822258/2015,Nebraska,H3N2,N2.2002B,cluster_iva
KT580886,A/swine/Indiana/A01260906/2015,Indiana,H1N2,N2.2002B,delta1a
KT099103,A/swine/Iowa/A01822297/2015,Iowa,H1N2,N2.2002A,delta1b
KT099112,A/swine/Iowa/A01822306/2015,Iowa,H1N2,N2.2002A,delta1b
KT099106,A/swine/Iowa/A01822318/2015,Iowa,H1N2,N2.2002A,delta1b
KT164860,A/swine/North_Carolina/A02024129/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KT164878,A/swine/Iowa/A02024228/2015,Iowa,H1N2,N2.2002A,delta1a
KT164869,A/swine/Iowa/A02077681/2015,Iowa,H1N2,N2.2002B,delta1a
KT165002,A/swine/Nebraska/A01822263/2015,Nebraska,H1N2,N2.2002A,beta
KT164857,A/swine/North_Carolina/A02077689/2015,North Carolina,H1N2,N2.1998B,delta2
KT198637,A/swine/Iowa/A02024381/2015,Iowa,H1N2,N2.2002A,delta1a
KT164999,A/swine/Illinois/A01822445/2015,Illinois,H1N2,N2.2002B,delta1a
KT580910,A/swine/Indiana/A01260910/2015,Indiana,H1N2,N2.2002B,delta1a
KT036443,A/swine/SouthDakota/A01471462/2015,Unknown,H1N2,N2.2002A,delta1b
KT157817,A/swine/South_Dakota/A01471467/2015,South Dakota,H1N2,N2.2002B,delta1b
KT259388,A/swine/Nebraska/A01822499/2015,Nebraska,H3N2,N2.2002B,cluster_iva
KT259398,A/swine/Illinois/A01820840/2015,Illinois,H3N2,N2.2002A,cluster_ive
KT208386,A/swine/South_Dakota/A01822614/2015,South Dakota,H1N2,N2.2002B,delta1b
KT198619,A/swine/North_Carolina/A02024648/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KT259391,A/swine/South_Dakota/A01822640/2015,South Dakota,H1N2,N2.2002A,delta1b
KT198646,A/swine/Illinois/A02077877/2015,Illinois,H1N2,N2.2002B,delta1a
KT259382,A/swine/Nebraska/A01822664/2015,Nebraska,H3N2,N2.2002A,cluster_iva
KT198628,A/swine/Arkansas/A02024656/2015,Arkansas,H1N2,N2.2002B,delta1a
KT198649,A/swine/Illinois/A02077895/2015,Illinois,H1N2,N2.2002B,delta1a
KT240369,A/swine/Minnesota/A01822846/2015,Minnesota,H3N2,N2.2002B,cluster_iva
KT259401,A/swine/Illinois/A01820901/2015,Illinois,H3N2,N2.2002A,cluster_ive
KT259331,A/swine/Indiana/A02077934/2015,Indiana,H1N2,N2.2002B,delta1a
KT240375,A/swine/Iowa/A01822769/2015,Iowa,H1N2,N2.2002A,delta1a
KT259337,A/swine/Iowa/A02076898/2015,Iowa,H1N2,N2.2002A,delta1b
KT240378,A/swine/Minnesota/A01822758/2015,Minnesota,H1N2,N2.2002A,delta1a
KT240366,A/swine/South_Dakota/A01822754/2015,South Dakota,H1N2,N2.2002B,alpha
KT449765,A/swine/Indiana/A01260918/2015,Indiana,(N2),N2.2002B,cluster_iva
KT240363,A/swine/Missouri/A01822838/2015,Missouri,H3N2,N2.2002B,2010.1
KT356679,A/swine/Illinois/A00843253/2015,Illinois,H3N2,N2.2002B,cluster_iva
KT327338,A/swine/Illinois/A02024781/2015,Illinois,(N2),N2.2002B,gamma
KT240384,A/swine/South_Dakota/A01822916/2015,South Dakota,H1N2,N2.2002B,delta1b
KT274678,A/swine/Arkansas/A02024832/2015,Arkansas,H1N2,N2.2002B,delta1a
KT304318,A/swine/Illinois/A02024907/2015,Illinois,H1N2,N2.2002B,delta1a
KT259379,A/swine/Minnesota/A01823149/2015,Minnesota,H1N2,N2.2002A,delta1b
KT274675,A/swine/Oklahoma/A02024960/2015,Oklahoma,H1N2,N2.2002B,delta1a
KT313459,A/swine/South_Dakota/A01823125/2015,South Dakota,H1N2,N2.2002A,delta1b
KT274684,A/swine/Arkansas/A02035008/2015,Arkansas,H1N2,N2.2002B,delta1a
KT274691,A/swine/South_Dakota/A01471898/2015,South Dakota,H1N2,N2.2002B,delta1b
KT327358,A/swine/Iowa/A02035112/2015,Iowa,H1N2,N2.2002A,delta1a
KT304321,A/swine/Iowa/A02035127/2015,Iowa,H1N2,N2.2002A,delta1a
KT313465,A/swine/South_Dakota/A01823237/2015,South Dakota,H1N2,N2.2002B,alpha
KT374236,A/swine/Indiana/A01260926/2015,Indiana,H3N2,N2.2002B,cluster_iva
KT274694,A/swine/Minnesota/A01471950/2015,Minnesota,H3N2,N2.2002B,cluster_iva
KT327346,A/swine/Indiana/A02025101/2015,Indiana,H1N2,N2.1998B,delta2
KT327343,A/swine/Indiana/A02025102/2015,Indiana,H1N2,N2.1998B,delta2
KT327332,A/swine/Nebraska/A02035254/2015,Nebraska,H1N2,N2.2002A,delta1a
KT277820,A/swine/South_Dakota/A01823304/2015,South Dakota,H1N2,N2.2002B,delta1b
KT327349,A/swine/Illinois/A02034146/2015,Illinois,H1N2,N2.2002B,delta1a
KT327335,A/swine/Illinois/A02035327/2015,Illinois,H1N2,N2.1998A,delta1b
KT327361,A/swine/Missouri/A02076915/2015,Missouri,H1N2,N2.2002B,delta1b
KT804001,A/swine/Indiana/A01260933/2015,Indiana,H1N2,N2.2002B,gamma
KT356698,A/swine/Iowa/A02025166/2015,Iowa,H1N2,N2.2002B,delta1a
KT356704,A/swine/Iowa/A02025170/2015,Iowa,H1N2,N2.2002B,delta1a
KT359265,A/swine/Iowa/A02076918/2015,Iowa,(N2),N2.2002B,gamma
KT359269,A/swine/Iowa/A02076919/2015,Iowa,(N2),N2.2002B,gamma
KT313462,A/swine/Nebraska/A01823392/2015,Nebraska,H3N2,N2.2002B,cluster_iva
KT356701,A/swine/North_Carolina/A02034333/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KT356695,A/swine/Iowa/A01823426/2015,Iowa,H1N2,N2.2002A,delta1a
KT356692,A/swine/Iowa/A01823437/2015,Iowa,H1N2,N2.2002A,delta1a
KT356686,A/swine/Iowa/A01823446/2015,Iowa,H1N2,N2.2002A,delta1a
KT429544,A/swine/Iowa/A02025203/2015,Iowa,H3N2,N2.2002B,cluster_iva
KT356710,A/swine/North_Carolina/A02025176/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KT356713,A/swine/Pennsylvania/A02035484/2015,Pennsylvania,H1N2,N2.1998B,delta2
KT965359,A/swine/Illinois/A02090181/2015,Illinois,(N2),N2.2002A,cluster_ive
KT356707,A/swine/Indiana/A02025254/2015,Indiana,H1N2,N2.2002B,delta1a
KT356716,A/swine/Iowa/A02025220/2015,Iowa,H3N2,N2.2002B,cluster_ivb
KT356689,A/swine/Nebraska/A01823468/2015,Nebraska,H3N2,N2.2002B,cluster_iva
KT374222,A/swine/Illinois/A02090176/2015,Illinois,H1N2,N2.2002B,delta1a
KT356683,A/swine/South_Dakota/A01823598/2015,South Dakota,H1N2,N2.2002B,alpha
KT338309,A/swine/Minnesota/A01472283/2015,Minnesota,H1N2,N2.2002B,alpha
KT429550,A/swine/Illinois/A02025282/2015,Illinois,H1N2,N2.2002B,delta1a
KT429529,A/swine/Illinois/A02025300/2015,Illinois,H1N2,N2.2002B,delta1a
KT429523,A/swine/Illinois/A02035711/2015,Illinois,H3N2,N2.2002B,cluster_ivb
KT429532,A/swine/Iowa/A02076932/2015,Iowa,H1N2,N2.2002B,alpha
KT429526,A/swine/North_Carolina/A02034471/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KT735033,A/swine/Indiana/A01260943/2015,Indiana,H1N2,N2.1998B,delta2
KT426693,A/swine/Nebraska/A01823621/2015,Nebraska,H3N2,N2.2002B,cluster_iva
KT583621,A/swine/Ilinois/A02090306/2015,Unknown,H3N2,N2.2002B,cluster_iva
KT446444,A/swine/North_Carolina/A02035784/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KT446465,A/swine/Iowa/A02025359/2015,Iowa,H1N2,N2.2002A,alpha
KT446462,A/swine/North_Carolina/A02035808/2015,North Carolina,H1N2,N2.1998B,delta2
KT446453,A/swine/Illinois/A02034785/2015,Illinois,H1N2,N2.2002B,delta1a
KT804017,A/swine/Indiana/A01260948/2015,Indiana,H1N2,N2.1998B,delta2
KT446468,A/swine/Iowa/A02025399/2015,Iowa,H1N2,N2.2002A,delta1a
KT595713,A/swine/Iowa/A02025416/2015,Iowa,H1N2,N2.2002B,delta1b
KT446459,A/swine/North_Carolina/A02025402/2015,North Carolina,H3N2,N2.2002B,cluster_iva
KT446456,A/swine/North_Carolina/A02034873/2015,North Carolina,H1N2,N2.1998B,delta2
KT583618,A/swine/Ilinois/A02090378/2015,Unknown,H3N2,N2.2002B,cluster_iva
KT595710,A/swine/Iowa/A02025409/2015,Iowa,H3N2,N2.2002B,cluster_ivb
KT595707,A/swine/North_Carolina/A02025430/2015,North Carolina,H1N2,N2.1998B,delta2
KT595722,A/swine/South_Dakota/A02025413/2015,South Dakota,H1N2,N2.2002A,delta1b
